base exp072 lat_rmse=2.680753 mse=7.186439
late_mean_n50_d2000_s0.75 lat_rmse=2.585199 mse=6.683254
late_mean_n50_d2000_s1 lat_rmse=2.572937 mse=6.620006
late_mean_n50_d5000_s0.25 lat_rmse=2.614602 mse=6.836142
late_mean_n50_d5000_s0.5 lat_rmse=2.569122 mse=6.600386
late_mean_n50_d5000_s0.75 lat_rmse=2.545423 mse=6.479178
late_mean_n50_d5000_s1 lat_rmse=2.544114 mse=6.472515
late_mean_n100_d0_s0.25 lat_rmse=2.582814 mse=6.670926
late_mean_n100_d0_s0.5 lat_rmse=2.535148 mse=6.426974
late_mean_n100_d0_s0.75 lat_rmse=2.540626 mse=6.454780
late_mean_n100_d0_s1 lat_rmse=2.598872 mse=6.754137
late_mean_n100_d250_s0.25 lat_rmse=2.673131 mse=7.145628
late_mean_n100_d250_s0.5 lat_rmse=2.666706 mse=7.111319
late_mean_n100_d250_s0.75 lat_rmse=2.661487 mse=7.083514
late_mean_n100_d250_s1 lat_rmse=2.657482 mse=7.062210
late_mean_n100_d500_s0.25 lat_rmse=2.666872 mse=7.112206
late_mean_n100_d500_s0.5 lat_rmse=2.655370 mse=7.050991
late_mean_n100_d500_s0.75 lat_rmse=2.646282 mse=7.002809
late_mean_n100_d500_s1 lat_rmse=2.639633 mse=6.967665
late_mean_n100_d1000_s0.25 lat_rmse=2.656116 mse=7.054954
late_mean_n100_d1000_s0.5 lat_rmse=2.636199 mse=6.949545
late_mean_n100_d1000_s0.75 lat_rmse=2.621113 mse=6.870232
late_mean_n100_d1000_s1 lat_rmse=2.610940 mse=6.817010
late_mean_n100_d2000_s0.25 lat_rmse=2.639336 mse=6.966093
late_mean_n100_d2000_s0.5 lat_rmse=2.607224 mse=6.797618
late_mean_n100_d2000_s0.75 lat_rmse=2.584766 mse=6.681017
late_mean_n100_d2000_s1 lat_rmse=2.572215 mse=6.616289
late_mean_n100_d5000_s0.25 lat_rmse=2.614056 mse=6.833288
late_mean_n100_d5000_s0.5 lat_rmse=2.567870 mse=6.593955
late_mean_n100_d5000_s0.75 lat_rmse=2.543312 mse=6.468434
late_mean_n100_d5000_s1 lat_rmse=2.541009 mse=6.456726
late_mean_n200_d0_s0.25 lat_rmse=2.585143 mse=6.682965
late_mean_n200_d0_s0.5 lat_rmse=2.539355 mse=6.448323
late_mean_n200_d0_s0.75 lat_rmse=2.546045 mse=6.482345
late_mean_n200_d0_s1 lat_rmse=2.604862 mse=6.785305
late_mean_n200_d250_s0.25 lat_rmse=2.673546 mse=7.147846
late_mean_n200_d250_s0.5 lat_rmse=2.667530 mse=7.115717
late_mean_n200_d250_s0.75 lat_rmse=2.662715 mse=7.090050
late_mean_n200_d250_s1 lat_rmse=2.659106 mse=7.070846
late_mean_n200_d500_s0.25 lat_rmse=2.667499 mse=7.115553
late_mean_n200_d500_s0.5 lat_rmse=2.656615 mse=7.057606
late_mean_n200_d500_s0.75 lat_rmse=2.648134 mse=7.012614
late_mean_n200_d500_s1 lat_rmse=2.642077 mse=6.980573
late_mean_n200_d1000_s0.25 lat_rmse=2.656877 mse=7.058996
late_mean_n200_d1000_s0.5 lat_rmse=2.637705 mse=6.957488
late_mean_n200_d1000_s0.75 lat_rmse=2.623337 mse=6.881896
late_mean_n200_d1000_s1 lat_rmse=2.613853 mse=6.832230
late_mean_n200_d2000_s0.25 lat_rmse=2.640235 mse=6.970842
late_mean_n200_d2000_s0.5 lat_rmse=2.608984 mse=6.806797
late_mean_n200_d2000_s0.75 lat_rmse=2.587333 mse=6.694294
late_mean_n200_d2000_s1 lat_rmse=2.575525 mse=6.633327
late_mean_n200_d5000_s0.25 lat_rmse=2.615422 mse=6.840434
late_mean_n200_d5000_s0.5 lat_rmse=2.570479 mse=6.607362
late_mean_n200_d5000_s0.75 lat_rmse=2.547004 mse=6.487232
late_mean_n200_d5000_s1 lat_rmse=2.545593 mse=6.480044
late_median_n10_d0_s0.25 lat_rmse=2.584244 mse=6.678315
late_median_n10_d0_s0.5 lat_rmse=2.539377 mse=6.448437
late_median_n10_d0_s0.75 lat_rmse=2.548892 mse=6.496853
late_median_n10_d0_s1 lat_rmse=2.612169 mse=6.823425
late_median_n10_d250_s0.25 lat_rmse=2.672828 mse=7.144012
late_median_n10_d250_s0.5 lat_rmse=2.666139 mse=7.108298
late_median_n10_d250_s0.75 lat_rmse=2.660695 mse=7.079297
late_median_n10_d250_s1 lat_rmse=2.656503 mse=7.057011
late_median_n10_d500_s0.25 lat_rmse=2.666471 mse=7.110070
late_median_n10_d500_s0.5 lat_rmse=2.654647 mse=7.047150
late_median_n10_d500_s0.75 lat_rmse=2.645313 mse=6.997680
late_median_n10_d500_s1 lat_rmse=2.638497 mse=6.961667
late_median_n10_d1000_s0.25 lat_rmse=2.655713 mse=7.052813
late_median_n10_d1000_s0.5 lat_rmse=2.635549 mse=6.946118
late_median_n10_d1000_s0.75 lat_rmse=2.620374 mse=6.866360
late_median_n10_d1000_s1 lat_rmse=2.610275 mse=6.813537
late_median_n10_d2000_s0.25 lat_rmse=2.639182 mse=6.965282
late_median_n10_d2000_s0.5 lat_rmse=2.607233 mse=6.797664
late_median_n10_d2000_s0.75 lat_rmse=2.585263 mse=6.683582
late_median_n10_d2000_s1 lat_rmse=2.573525 mse=6.623032
late_median_n10_d5000_s0.25 lat_rmse=2.614516 mse=6.835692
late_median_n10_d5000_s0.5 lat_rmse=2.569463 mse=6.602139
late_median_n10_d5000_s0.75 lat_rmse=2.546720 mse=6.485780
late_median_n10_d5000_s1 lat_rmse=2.546884 mse=6.486618
late_median_n25_d0_s0.25 lat_rmse=2.584539 mse=6.679840
late_median_n25_d0_s0.5 lat_rmse=2.539684 mse=6.449996
late_median_n25_d0_s0.75 lat_rmse=2.548918 mse=6.496983
late_median_n25_d0_s1 lat_rmse=2.611674 mse=6.820839
late_median_n25_d250_s0.25 lat_rmse=2.672873 mse=7.144250
late_median_n25_d250_s0.5 lat_rmse=2.666219 mse=7.108724
late_median_n25_d250_s0.75 lat_rmse=2.660802 mse=7.079865
late_median_n25_d250_s1 lat_rmse=2.656628 mse=7.057672
late_median_n25_d500_s0.25 lat_rmse=2.666546 mse=7.110467
late_median_n25_d500_s0.5 lat_rmse=2.654778 mse=7.047846
late_median_n25_d500_s0.75 lat_rmse=2.645483 mse=6.998583
late_median_n25_d500_s1 lat_rmse=2.638689 mse=6.962681
late_median_n25_d1000_s0.25 lat_rmse=2.655840 mse=7.053484
late_median_n25_d1000_s0.5 lat_rmse=2.635768 mse=6.947273
late_median_n25_d1000_s0.75 lat_rmse=2.620650 mse=6.867807
late_median_n25_d1000_s1 lat_rmse=2.610572 mse=6.815087
late_median_n25_d2000_s0.25 lat_rmse=2.639371 mse=6.966280
late_median_n25_d2000_s0.5 lat_rmse=2.607546 mse=6.799297
late_median_n25_d2000_s0.75 lat_rmse=2.585627 mse=6.685465
late_median_n25_d2000_s1 lat_rmse=2.573869 mse=6.624803
late_median_n25_d5000_s0.25 lat_rmse=2.614762 mse=6.836982
late_median_n25_d5000_s0.5 lat_rmse=2.569819 mse=6.603971
late_median_n25_d5000_s0.75 lat_rmse=2.547036 mse=6.487392
late_median_n25_d5000_s1 lat_rmse=2.547010 mse=6.487258
late_median_n50_d0_s0.25 lat_rmse=2.584585 mse=6.680081
late_median_n50_d0_s0.5 lat_rmse=2.539299 mse=6.448042
late_median_n50_d0_s0.75 lat_rmse=2.547632 mse=6.490429
late_median_n50_d0_s1 lat_rmse=2.609050 mse=6.807142
late_median_n50_d250_s0.25 lat_rmse=2.672955 mse=7.144690
late_median_n50_d250_s0.5 lat_rmse=2.666368 mse=7.109520
late_median_n50_d250_s0.75 lat_rmse=2.661003 mse=7.080936
late_median_n50_d250_s1 lat_rmse=2.656866 mse=7.058939
late_median_n50_d500_s0.25 lat_rmse=2.666665 mse=7.111104
late_median_n50_d500_s0.5 lat_rmse=2.654987 mse=7.048956
late_median_n50_d500_s0.75 lat_rmse=2.645751 mse=7.000001
late_median_n50_d500_s1 lat_rmse=2.638986 mse=6.964245
late_median_n50_d1000_s0.25 lat_rmse=2.656001 mse=7.054342
late_median_n50_d1000_s0.5 lat_rmse=2.636032 mse=6.948663
late_median_n50_d1000_s0.75 lat_rmse=2.620953 mse=6.869396
late_median_n50_d1000_s1 lat_rmse=2.610852 mse=6.816551
late_median_n50_d2000_s0.25 lat_rmse=2.639551 mse=6.967230
late_median_n50_d2000_s0.5 lat_rmse=2.607785 mse=6.800545
late_median_n50_d2000_s0.75 lat_rmse=2.585802 mse=6.686370
late_median_n50_d2000_s1 lat_rmse=2.573852 mse=6.624712
late_median_n50_d5000_s0.25 lat_rmse=2.614907 mse=6.837736
late_median_n50_d5000_s0.5 lat_rmse=2.569855 mse=6.604157
late_median_n50_d5000_s0.75 lat_rmse=2.546707 mse=6.485717
late_median_n50_d5000_s1 lat_rmse=2.546057 mse=6.482407
late_median_n100_d0_s0.25 lat_rmse=2.582587 mse=6.669757
late_median_n100_d0_s0.5 lat_rmse=2.534698 mse=6.424696
late_median_n100_d0_s0.75 lat_rmse=2.539956 mse=6.451377
late_median_n100_d0_s1 lat_rmse=2.598022 mse=6.749717
late_median_n100_d250_s0.25 lat_rmse=2.673149 mse=7.145724
late_median_n100_d250_s0.5 lat_rmse=2.666740 mse=7.111503
late_median_n100_d250_s0.75 lat_rmse=2.661537 mse=7.083780
late_median_n100_d250_s1 lat_rmse=2.657547 mse=7.062554
late_median_n100_d500_s0.25 lat_rmse=2.666888 mse=7.112293
late_median_n100_d500_s0.5 lat_rmse=2.655400 mse=7.051151
late_median_n100_d500_s0.75 lat_rmse=2.646324 mse=7.003029
